"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"25.2918","Damen Satin Stretch Hose","228g/m², 98% Baumwolle, 2% Elasthan","Enganliegende Passform, Gürtelschlaufen, 2 Taschen mit Paspel hinten, schräge Eingrifftaschen vorne, Tickettasche, TearAway Label, französische Größen: bitte Umrechnung entsprechend Maßtabelle"
"25.2936","Microfaser Badetuch","190g/m², 90% Polyester Microfaser, 10% Polyamid","Elastisches Faltband Ton-in-Ton, Overlock Finish, Maße: 100x150cm"
"25.2940","Schweres Herren V-Ausschnitt T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rippstrickausschnitt aus Baumwolle mit Elasthan, Nackenband, TearAway Label"
"25.2941","Schweres Damen V-Ausschnitt T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey, grey melange: 85% Baumwolle, 15% Viskose","Rippstrickausschnitt, Nackenband, TearAway Label"
"25.2942","Herren Raglan T-Shirt langarm","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Rippstrickausschnitt mit Elasthan, Raglanärmel, runder Saum, 2-farbig, TearAway Label, neutrales Größenlabel"
"25.2943","Damen Raglan T-Shirt langarm","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, Raglanärmel, runder Saum, 2-farbig, TearAway Label, neutrales Größenlabel"
"25.2944","Damen Lightweight Tanktop","130g/m², 100% Polyester","Runder Saum, Ringerrücken, Baumwoll-Feeling, TearAway Label, neutrales Größenlabel"
"25.2945","Herren T-Shirt","190g/m², 95% halbgekämmte ringgesponnene Baumwolle, 5% Elasthan, grey melange: 82% Baumwolle, 14% Viskose, 4% Elasthan","Rippstrickausschnitt mit Elasthan, Nackenband, elastischer Stoff, TearAway Label, neutrales Größenlabel"
"25.2946","Damen T-Shirt","190g/m², 95% halbgekämmte ringgesponnene Baumwolle, 5% Elasthan, grey melange: 82% Baumwolle, 14% Viskose, 4% Elasthan","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, Nackenband, elastischer Stoff, TearAway Label, neutrales Größenlabel"
"25.2995","Unisex Piqué Sport Shirt","130g/m², 100% Polyester Piqué","Set-In Ärmel, geeignet für Sublimation, schnelltrocknend, TearAway Label"
"25.2998","Unisex Raglan Kapuzen Sweater 2-farbig","280g/m², 80% ringgesponnene Baumwolle, 20% Polyester, charcoal melange/black: 60% Baumwolle, 40% Polyester, grey/navy und grey/burgundy: 75% Baumwolle, 20% Polyester, 5% Viskose","Gefütterte Kapuze mit Kordel, Nackenband, Raglanärmel, Rippstrickbündchen an Ärmel und Saum, innen angeraut, TearAway Label, neutrales Größenlabel"
"25.2999","Herren T-Shirt lang","150g/m², 100% ringgesponnene Baumwolle","Langer Schnitt, 1x1 Rippstrickausschnitt, Nackenband, runder Saum, TearAway Label, neutrales Größenlabel"
"25.3030","Jogginghose","240g/m², 50% Baumwolle, 50% Polyester, grey melange: 51% Polyester, 49% Baumwolle","1 aufgesetzte Tasche hinten, 2 Seitentaschen, Taille und Füße dehnbar"
"25.3095","Handtuch","550g/m², 100% gekämmte Baumwolle, French Terry","Glatte Bordüre 6cm, Aufhängeschlaufe, Doppelschussgewebe für bessere Saugfähigkeit, weiches French Terry, Maße: 50x100cm"
"25.3096","Duschtuch","550g/m², 100% gekämmte Baumwolle, French Terry","Glatte Bordüre 6cm, Aufhängeschlaufe, Doppelschussgewebe für bessere Saugfähigkeit, weiches French Terry, Maße: 70x140cm"
"25.3097","Badetuch","550g/m², 100% gekämmte Baumwolle, French Terry","Glatte Bordüre 6cm, Aufhängeschlaufe, Doppelschussgewebe für bessere Saugfähigkeit, weiches French Terry, Maße: 100x150cm"
"25.3099","Herren T-Shirt langarm gestreift","160g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Rundhalsausschnitt, weicher Griff, TearAway Label, neutrales Größenlabel"
"25.3100","Damen T-Shirt langarm gestreift","160g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Rundhalsausschnitt, weicher Griff, TearAway Label, neutrales Größenlabel"
"25.3101","Kinder T-Shirt langarm gestreift","160g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Rundhalsausschnitt, weicher Griff, TearAway Label, neutrales Größenlabel"
"25.3102","Kinder T-Shirt","155g/m², 100% gekämmte ringgesponnene Baumwolle, enzymgewaschen","Schmaler Schnitt, 1x1 Rippstrick Kragen, Rundhalsausschnitt, Nackenband, TearAway Label, neutrales Größenlabel"
"25.3250","Unisex Sweater","280g/m², 50% ringgesponnene Baumwolle, 50% Polyester","Nackenband verstärkt, 1x1 Rippstrick an Ärmel, Hals und Bund mit Elasthan, Seitennähte"
"25.3251","Unisex Kapuzen Sweater","320g/m², 50% ringgesponnene Baumwolle, 50% Polyester","Ungefütterte Kapuze mit Kordel Ton-in-Ton, Rippstrick am Bund mit Elasthan, Kängurutasche"
"25.3252","Damen Fleece Jacke","200g/m², 100% Polyester, Antipilling","Taillierter Schnitt, breite Strickkanten Ton-in-Ton an Stehkragen, Ärmelbündchen und Bund, Plastikreißverschluss Ton-in-Ton, 2 Taschen mit Reißverschluss"
"25.3255","Kinder Kapuzen Sweater","280g/m², 50% ringgesponnene Baumwolle, 50% Polyester","Gefütterte Kapuze ohne Kordel, 1x1 Rippstrick am Bund mit Elasthan, Kängurutaschen"
"25.3256","Kinder Digitaldruck Bio T-Shirt 10er Pack","145g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Vorbehandeltes T-Shirt für Digitaldruck, leicht taillierter Schnitt, Rundhalsausschnitt aus Rippstrick, Nackenband, Druckbereich: 25x21cm bei Größe 6Y, neutrales Größenlabel, Verkauf nur in Packs, Rücknahme nur in original verschlossenem Polybeutel möglich, wichtige Hinweise zur Lagerung und Handhabung: stabile Temperatur geringer als 30°, Luftfeuchtigkeit geringer als 65%, staubfreie Umgebung, vorsichtige Handhabung (kein Reiben, kein Dehnen), keine direkte Licht-/Sonneneinstrahlung, Auspacken aus dem Polybeutel erst unmittelbar vor dem Druck empfohlen, Aufbewahrung von nicht verwendeten Artikeln im Polybeutel, um zu hohe Feuchtigkeit vor dem Druck zu vermeiden, kann das Shirt für 3-5 Sekunden 30min vor dem Druck vorgepresst werden, die Farbbrillanz ist umso besser, je trockener das Shirt ist"
"25.3257","Schweres Damen Digitaldruck Bio T-Shirt 10er Pack","185g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Vorbehandeltes T-Shirt für Digitaldruck, taillierter Schnitt, Rundhalsausschnitt aus Rippstrick, Nackenband, Druckbereich: 44x29cm bei Größe M, neutrales Größenlabel, Verkauf nur in Packs, Rücknahme nur in original verschlossenem Polybeutel möglich, wichtige Hinweise zur Lagerung und Handhabung: stabile Temperatur geringer als 30°, Luftfeuchtigkeit geringer als 65%, staubfreie Umgebung, vorsichtige Handhabung (kein Reiben, kein Dehnen), keine direkte Licht-/Sonneneinstrahlung, Auspacken aus dem Polybeutel erst unmittelbar vor dem Druck empfohlen, Aufbewahrung von nicht verwendeten Artikeln im Polybeutel, um zu hohe Feuchtigkeit vor dem Druck zu vermeiden, kann das Shirt für 3-5 Sekunden 30min vor dem Druck vorgepresst werden, die Farbbrillanz ist umso besser, je trockener das Shirt ist"
"25.3260","Herren Business Windjacke","100% Polyester","Wind- und wasserabweisend, abnehmbare Kapuze mit Druckknöpfen, Öffnung mit Leiste, Reißverschluss und Druckknöpfen, viele Taschen"
"25.3270","Schweres Herren Digitaldruck Bio T-Shirt 10er Pack","185g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Vorbehandeltes T-Shirt für Digitaldruck, leicht taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, Nackenband, Druckbereich: 38x52cm bei Größe L, neutrales Größenlabel, Verkauf nur in Packs, Rücknahme nur in original verschlossenem Polybeutel möglich, wichtige Hinweise zur Lagerung und Handhabung: stabile Temperatur geringer als 30°, Luftfeuchtigkeit geringer als 65%, staubfreie Umgebung, vorsichtige Handhabung (kein Reiben, kein Dehnen), keine direkte Licht-/Sonneneinstrahlung, Auspacken aus dem Polybeutel erst unmittelbar vor dem Druck empfohlen, Aufbewahrung von nicht verwendeten Artikeln im Polybeutel, um zu hohe Feuchtigkeit vor dem Druck zu vermeiden, kann das Shirt für 3-5 Sekunden 30min vor dem Druck vorgepresst werden, die Farbbrillanz ist umso besser, je trockener das Shirt ist"
"25.3524","Herren Digitaldruck Bio T-Shirt 10er Pack","145g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Vorbehandeltes T-Shirt für Digitaldruck, leicht taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, Nackenband, Druckbereich: 38x52cm bei Größe L, neutrales Größenlabel, Verkauf nur in Packs, Rücknahme nur in original verschlossenem Polybeutel möglich, wichtige Hinweise zur Lagerung und Handhabung: stabile Temperatur geringer als 30°, Luftfeuchtigkeit geringer als 65%, staubfreie Umgebung, vorsichtige Handhabung (kein Reiben, kein Dehnen), keine direkte Licht-/Sonneneinstrahlung, Auspacken aus dem Polybeutel erst unmittelbar vor dem Druck empfohlen, Aufbewahrung von nicht verwendeten Artikeln im Polybeutel, um zu hohe Feuchtigkeit vor dem Druck zu vermeiden, kann das Shirt für 3-5 Sekunden 30min vor dem Druck vorgepresst werden, die Farbbrillanz ist umso besser, je trockener das Shirt ist"
"25.3564","Bio T-Shirt","140g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, TearAway Label"
"25.3565","Schweres Herren Bio T-Shirt","175g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, Nackenband, TearAway Label"
"25.3566","Herren Bio Piqué Polo","170g/m², 100% zertifizierte Bio-Baumwolle","Gerader Schnitt, Kragen und Armabschlüsse in 1x1 Rippstrick, 2er Knopfleiste mit Knöpfen Ton-in-Ton, Ersatzknopf auf der Innenseite der Seitennaht, TearAway Label, neutrales Größenlabel"
"25.3567","Unisex Bio Raglan Sweater","280g/m², 80% zertifizierte Bio-Baumwolle, 20% recyceltes Polyester","Gerader Schnitt, Rundhalsausschnitt, 2x2 Rippstrick an Kragen, Arm- und Saumabschlüssen, Halbmond im Nacken, Nackenband, Raglanärmel, innen angeraut, TearAway Label, neutrales Größenlabel"
"25.3568","Unisex Bio Raglan Kapuzen Sweater","280g/m², 80% zertifizierte Bio-Baumwolle, 20% recyceltes Polyester","Gerader Schnitt, 2x2 Rippstrick an Kragen, Arm- und Saumabschlüssen, Kapuze mit Futter aus Single Jersey, Kordel Ton-in-Ton, Halbmond im Nacken, Nackenband, Raglanärmel, Kängurutasche, innen angeraut, TearAway Label, neutrales Größenlabel"
"25.3569","Bio Latzschürze","240g/m², 100% zertifizierte Bio-Baumwolle, Twill","Verstellbares Nackenband mit Druckknopf, große Vordertasche mit zwei Fächern, ohne Label, TearAway Label, Maße: 90x75cm"
"25.3574","Unisex Bio Sweater","280g/m², 80% zertifizierte Bio-Baumwolle, 20% recyceltes Polyester, French Terry (innen nicht angeraut)","Gerader Schnitt, Rundhalsausschnitt, 2x2 Rippstrick an Kragen, Arm- und Saumabschlüssen, Halbmond im Nacken, Set-In Ärmel, TearAway Label, neutrales Größenlabel"
"25.3575","Damen Bio Piqué Polo","170g/m², 100% zertifizierte Bio-Baumwolle","Leicht taillierter Schnitt, Kragen und Armabschlüsse in 1x1 Rippstrick, 3er Knopfleiste mit Knöpfen Ton-in-Ton, Ersatzknopf auf der Innenseite der Seitennaht, TearAway Label, neutrales Größenlabel"
"25.3576","Kinder Bio Raglan Kapuzen Sweater","280g/m², 80% zertifizierte Bio-Baumwolle, 20% recyceltes Polyester","Gerader Schnitt, Kapuze mit Futter aus Single Jersey, Halbmond im Nacken, Nackenband, Raglanärmel, 2x2 Rippstrick an Kragen, Ärmel- und Saumabschlüssen, Kängurutasche, innen angeraut, TearAway Label, neutrales Größenlabel"
"25.3578","Schweres Kinder Bio T-Shirt","175g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Seitennähte (2-8 Jahre) oder Rundstrickware (ab 10 Jahren), Rundhalsausschnitt aus Rippstrick, Nackenband, TearAway Label"
"25.3579","Schweres Damen Bio T-Shirt","175g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, Nackenband, TearAway Label"
"25.3580","Kinder Bio T-Shirt","150g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Seitennähte (2-8 Jahre) oder Rundstrickware (ab 10 Jahren), Rundhalsausschnitt aus Rippstrick, Nackenband"
"25.3581","Damen Bio T-Shirt","150g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Rundhalsausschnitt aus Rippstrick, Nackenband, TearAway Label"
"25.3582","Herren Bio T-Shirt","150g/m², 100% zertifizierte Bio-Baumwolle, enzymgewaschen","Leicht taillierter Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, Nackenband, TearAway Label"
"25.3630","Unisex Safari Gilet","65% Polyester, 35% Baumwolle","Inkl. 1 Handytasche, 9 Taschen, halbgefüttert mit Nylonnetz im Rücken, TearAway Label"
"25.3805","Unisex T-Shirt","170g/m², 55% recycelte Baumwolle, 45% recyceltes Polyester (rPET)","Rundhalsausschnitt aus Rippstrick, TearAway Label, neutrales Größenlabel"
"25.3806","Herren Oversize T-Shirt","180g/m², 100% gekämmte zertifizierte Bio-Baumwolle in Umstellung (In Conversion)","Großzügiger Schnitt, Rippstrickausschnitt, weite Ärmel, TearAway Label, neutrales Größenlabel"
"25.3807","Damen Oversize T-Shirt","180g/m², 100% gekämmte zertifizierte Bio-Baumwolle in Umstellung (In Conversion)","Großzügiger Schnitt, Rippstrickausschnitt, weite Ärmel, TearAway Label, neutrales Größenlabel"
"25.3808","Herren Jogginghose","300g/m², 85% gekämmte zertifizierte Bio-Baumwolle, 15% recyceltes Polyester, Bio-Baumwolle oder in Umstellung auf Bio (IC 2), French Terry (innen nicht angeraut)","Schmaler Schnitt, elastischer Bund mit Kordelzug, Rippstrickbündchen an Bund und Beinabschluss, 2 schräge Seitentaschen, aufgesetzte Gesäßtasche, TearAway Label"
"25.3809","Damen Jogginghose","300g/m², 85% gekämmte zertifizierte Bio-Baumwolle, 15% recyceltes Polyester, Bio-Baumwolle oder in Umstellung auf Bio (IC 2), French Terry (innen nicht angeraut)","Schmaler Schnitt, elastischer Bund mit Kordelzug, Rippstrickbündchen an Bund und Beinabschluss, 2 schräge Seitentaschen, aufgesetzte Gesäßtasche, TearAway Label"
"25.3813","Unisex Kapuzen Sweater","450g/m², 100% Baumwolle, French Terry (innen nicht angeraut)","Großzügiger Schnitt, Oversize Look, gefütterte Kapuze, Set-In Ärmel, Kängurutasche, Seitennähte, TearAway Label, neutrales Größenlabel, 60° waschbar"
"25.3814","Unisex Sweater","280g/m², 80% Baumwolle, 20% recyceltes Polyester (rPET)","1x1 Rippstrick an Kragen, Arm- und Saumabschlüssen, Set-In Ärmel, innen angeraut, TearAway Label"
"25.3815","Unisex Kapuzen Sweater","280g/m², 80% Baumwolle, 20% recyceltes Polyester (rPET)","1x1 Rippstrick an Kragen, Arm- und Saumabschlüssen, gefütterte Kapuze mit Kordel, Set-In Ärmel, Kängurutasche, Metallösen, TearAway Label"
"25.3818","Unisex Bio Kapuzen Sweater","280g/m², 80% gekämmte zertifizierte Bio-Baumwolle, 20% recyceltes Polyester (rPET)","Gefütterte Kapuze mit Kordel, Halbmond im Nacken, Nackenband, Rippstrickbündchen an Ärmeln und Saum mit Elasthan, Kängurutasche, 3-fädiges gebürstetes Fleece, TearAway Label, neutrales Größenlabel"
"25.3819","Damen Leggings","95% gekämmte Baumwolle, 5% Elasthan","Elastischer Bund, weiches dehnbares Material, Carbon Finish, TearAway Label"
"25.3821","10 Reißverschluss Anhänger ""Billy""","Silikon","Reißverschluss-Anhänger zur farbigen Individualisierung, werden packweise geliefert (1 Pack=10 Stück)"
"25.3823","Herren Fleece Jacke","280g/m², 100% recyceltes Polyester (rPET)","Nackenband, elastischer Bund und Ärmelabschluss, 2 Seitentaschen mit Reißverschluss, angenehmes Stretchfleece, TearAway Label"
"25.3824","Damen Fleece Jacke","280g/m², 100% recyceltes Polyester (rPET)","Nackenband, elastischer Bund und Ärmelabschluss, 2 Seitentaschen mit Reißverschluss, angenehmes Stretchfleece, TearAway Label"
"25.3827","Herren 3-Lagen Softshell Jacke","270g/m², 94% recyceltes Polyester (rPET), 6% Elasthan, Fleece innen: 100% Polyester","Winddicht und wasserabweisend (5.000mm Wassersäule), atmungsaktiv, elastischer Bund und Ärmelabschluss, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, TearAway Label"
"25.3828","Damen 3-Lagen Softshell Jacke","270g/m², 94% recyceltes Polyester (rPET), 6% Elasthan, Fleece innen: 100% Polyester","Leicht taillierter Schnitt, elastischer Bund und Ärmelabschluss, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, TearAway Label"
"25.3980","Bio Tanktop","150g/m², 100% zertifizierte Bio-Baumwolle in Umstellung (in conversion), grey melange: 85% zertifizierte Bio-Baumwolle in Umstellung (in conversion), 15% Viskose","Unisex, schmal eingefasster Hals- und Armausschnitt, TearAway Label"
"25.3982","Bio T-Shirt langarm","175g/m², 100% zertifizierte Bio-Baumwolle in Umstellung (in conversion), grey melange: 85% zertifizierte Bio-Baumwolle in Umstellung (in conversion), 15% Viskose","Unisex, Rundhalsausschnitt aus Rippstrick, Nackenband, 1x2 Rippstrickbündchen an den Ärmeln, Seitenschlitze, TearAway Label"
"25.3989","Gefüttertes Karohemd","180g/m², Außen: 100% Baumwollflanell, Wattierung: 100% recyceltes Polyester, Futter: 100% recyceltes Polyester Taft","Hemdkragen, geknöpfte Ärmelbündchen mit Schlitz, 1 Innentasche mit Klettverschluss, 2 Brusttaschen mit Patte und Knopf, Seitentaschen, länger geschnittener Rücken, Veredelungszugang am Rücken, Steppfutter, TearAway Label, neutrales Größenlabel"
"25.3990","Polo Sweater","320g/m², 50% Baumwolle, 50% recycelte Baumwolle, French Terry (innen nicht angeraut), grey melange: 56% Baumwolle, 38% recycelte Baumwolle, 6% Viskose","Gestrickter Polokragen, versteckte Druckknopfleiste, 1x1 Rippstrickbündchen mit Elasthan an den Ärmeln, Seitenschlitze, TearAway Label, neutrales Größenlabel, 60° waschbar"
"25.3991","Oversize Kapuzen Sweater","450g/m², 80% Baumwolle, 20% recyceltes Polyester, grey melange: 73% Baumwolle, 20% recycelte Baumwolle, 7% Viskose","Großzügiger Schnitt, gefütterte Kapuze, Nackenband, tief liegende Schulterpartie, Rippstrickbündchen an Ärmel und Saum, Kängurutasche, seitliche Rippstrickeinsätze, innen angeraut, TearAway Label, neutrales Größenlabel"
"25.3996","Oversize Unisex T-Shirt","220g/m², 50% Baumwolle, 50% recycelte Baumwolle, Single Jersey","Großzügiger Schnitt, Rundstrickware, Rundhalsausschnitt aus Rippstrick, durchgehendes Nacken- und Schulterband, tief liegende Schulterpartie, TearAway Label, neutrales Größenlabel"
"25.3998","Fischerhut ""2-in-1""","420g/m², 100% Polyester","Beidseitig tragbar, eine Seite aus flauschigem Sherpa, eine Seite aus weichem Velours, TearAway Label"
"25.4002","Gesteppter Bodywarmer","Außen: 100% 210T Polyamid, AC Beschichtung, Futter: 100% 190T Polyester, Kragen und Körper mit dunkelgrauem kontrastierenden 190T Nylon gefüttert, Wattierung: 220g/m² Polyester Wattierung","Wasserabweisend, 2 Seitentaschen, Veredelungszugang im Futter, winddicht"
"25.4022","Fleece Jacke","275g/m², 70% recyceltes Polyester, 30% Polyester","Klassischer Schnitt, Nackenband, schmale elastische Einfassung an Saum und Ärmel, Reißverschluss Ton-in-Ton, 2 Seitentaschen mit Reißverschluss, weiches dehnbares Material, TearAway Label, neutrales Größenlabel"
"25.4041","Sherpa Fleece Gilet","440g/m², 70% recyceltes Polyester, 30% Polyester, Einsätze: 100% Polyamid, Futter: 100% Polyester Fleece","2 Seitentaschen mit Reißverschluss in Kontrastfarbe, Brusttasche mit Reißverschluss, ergonomisch verlängertes Rückenteil, reflektierende Details (ohne Schutzfunktion) am Reißverschluss Anhänger, elastische Kordel mit Stopper am Saum, Brusttasche und kontrastierende Borte an Ärmeln und Saum aus Taslon, TearAway Label, neutrales Größenlabel"
